what,kind,bundleId,bundleVersion,description,time
error,log,,,"(Build 2.0.0.1278523018) [ERROR] Search in directory UI was not created",1352786619655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786619903
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1352786628219
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786628276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786629029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786641910
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1352786663300
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1352786663301
error,log,,,"PythonInterpreterManager:Interpreter is not properly configured!\nPlease go to window > preferences > PyDev > Python Interpreters and configure it.\nIf this is not supposed to be a Python project, change the project type on the\nproject properties to the project you want (e.g.: Jython project).",1352786663302
opened,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786663445
activated,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786663718
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1352786663782
error,log,,,"Unable to resolve module for:L/mtgtrade2/Expense/ExpenseHandler.py",1352786701379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786704792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786728111
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1352786730180
error,log,,,"No property tester contributes a property com.aptana.ide.core.ui.nature to type class org.python.pydev.navigator.elements.PythonProjectSourceFolder",1352786730189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1352786735496
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786736113
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786740906
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786741519
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786765118
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786773375
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786773631
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786773907
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786774153
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786774354
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786774558
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786774764
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786774954
closed,editor,com.aptana.ide.editor.html,2.0.0.1278523018,"com.aptana.ide.editors.HTMLEditor",1352786775062
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786776023
closed,editor,org.python.pydev,1.6.5.2011020317,"org.python.pydev.editor.PythonEditor",1352786776266
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786803084
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1352786807624
